vuln_id,whitelist,package,version_local,version_local_regex,version_nixpkgs,version_upstream,comment,review_comment
CVE-2026-78(?:89[1-9]|90[0-1]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-789(?:0[3-9]|1[0-5]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-789(?:3[4-9]|[4-6][0-9]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-789(?:7[4-9]|8[0-1]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-7898[3-7],True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-789(?:89|9[0-1]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-7(?:8999|90(?:2[0-8]|[0-1][0-9])),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-7903[0-4],True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-790(?:60|3[8-9]|[4-5][0-9]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-790(?:6[4-9]|7[0-8]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-790(?:8[2-9]|9[0-1]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-7909[3-5],True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-7909[7-9],True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-791(?:0[3-9]|1[0-2]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-791(?:1[6-9]|2[0-9]|3[0-4]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-791(?:3[6-9]|4[0-4]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-791(?:4[6-9]|5[0-2]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-7915[4-5],True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-79(?:1(?:7[3-9]|[8-9][0-9])|2(?:6[0-7]|[0-5][0-9])),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-792(?:69|7[0-6]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-792(?:8[2-9]|9[0-3]),True,google-chrome,152.0.7977.64,,,,False positive: Chrome Linux 152.0.7977.64 is the vendor fixed release for the Aug 25 2026 Chrome 152 security batch; CVE data uses a cross-platform 152.0.7977.65 threshold.,
CVE-2026-843(?:2[3-689]|3[1245]|4[7-9]|5[014-9]),False,google-chrome,152.0.7977.64,,152.0.7977.75,152.0.7977.82,Nixpkgs PR #558964,Affected by the Sept 1 Chrome security batch; fixed in Linux 152.0.7977.75 by Nixpkgs PR #558964.
(CVE-2026-5450|CVE-2026-0861|CVE-2025-15281|CVE-2026-0915|CVE-2026-4046|CVE-2026-4437|CVE-2026-5435|CVE-2026-5928|CVE-2026-6238|CVE-2026-6791|CVE-2026-4438|CVE-2026-6368|CVE-2026-18374),True,glibc,2.42,,,,Build-time-only bootstrap libc derivations; the target runtime uses the separately scanned glibc 2.42-84 package.,
(CVE-2026-8376|CVE-2026-13221|CVE-2026-57432),True,perl,5.42.3,,,,"False positive: upstream Perl 5.42.3 includes fixes for all three CVEs. CVE-2026-8376 additionally affects only 32-bit builds while this target is x86_64-linux.",
(CVE-2026-14456|CVE-2026-14457|CVE-2026-18798|CVE-2026-54874|CVE-2026-54876|CVE-2026-63072|CVE-2026-63073|CVE-2026-63074|CVE-2026-63075|CVE-2026-63076|CVE-2026-75803),False,openssl,3.6.3,,,,Nixpkgs PR #557397,Still affected; all are fixed in OpenSSL 3.6.4 and Nixpkgs PR #557397.
CVE-2026-18374,False,glibc,2.42-84,,,,Awaiting Nixpkgs fix,"CVE-2026-18374 is a heap overflow in fopen's ,ccs= mode handling. Upstream fixed it in commits 9765a538ebf8661a6e5578e01e35a3dd30db7eb4 and cca93e5d88d3d4ed073c03100467696f652269e7; no Nixpkgs issue, PR, or commit was found as of 2026-09-05."
